QueryNumber,RPrecisionAB
1,0.02941176470588236
2,0.0
3,-0.023255813953488372
4,0.0
5,-0.030534351145038163
6,0.0
7,0.0
8,-0.045454545454545456
9,-0.09999999999999998
10,0.040000000000000036
11,0.045454545454545414
12,0.0
13,-0.04166666666666666
14,-0.018181818181818188
15,-0.009615384615384609
16,0.005555555555555536
17,0.03636363636363635
18,0.0
19,0.0
20,0.02173913043478265
21,0.0
22,-0.05714285714285716
23,0.057142857142857134
24,-0.03225806451612903
25,0.019607843137254888
26,-0.06060606060606061
27,0.0
28,-0.019607843137254888
29,-0.04545454545454544
30,0.05882352941176469
31,-0.051724137931034475
32,0.0
33,0.0
34,0.02564102564102566
35,-0.07142857142857145
36,0.0
37,-0.010204081632653073
38,-0.13207547169811323
39,-0.04938271604938271
40,-0.0136986301369863
41,0.0
42,0.0
43,-0.030612244897959162
44,-0.014285714285714235
45,-0.04999999999999999
46,0.05555555555555558
47,0.016666666666666663
48,0.0
49,-0.055555555555555525
50,-0.08000000000000002
51,-0.15767634854771784
52,0.0
53,0.043478260869565244
54,0.032258064516129004
55,-0.041666666666666664
56,-0.09375
57,-0.019607843137254943
58,-0.0736842105263158
59,-0.027586206896551724
60,0.0
61,-0.01428571428571429
62,0.00694444444444442
63,-0.10256410256410256
64,-0.06
65,-0.06382978723404253
66,0.0
67,0.0
68,-0.06666666666666667
69,0.06666666666666668
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,-0.047619047619047616
76,-0.05882352941176472
77,-0.03658536585365854
78,-0.07792207792207792
79,-0.06976744186046513
80,0.02941176470588236
81,-0.07142857142857142
82,-0.06451612903225808
83,0.03125
84,0.0
85,-0.06451612903225806
86,0.021276595744680882
87,0.0
88,0.0
89,0.0
90,0.0
91,0.006578947368421073
92,-0.031496062992125984
93,-0.11627906976744187
94,0.1111111111111111
95,0.0
96,-0.09090909090909094
97,0.0
98,0.0
99,0.0
